Model Type,Step Length,Metric,Best NB (by median),Best threshold quantile,Threshold (from best NB),Neighborhood Size,bad_rate,n
Mixture NCA,25,KL Divergence,5,0.95,0.05562536455690856,1,1.0,1500
Mixture NCA,25,KL Divergence,5,0.95,0.05562536455690856,2,0.9273333333333333,1500
Mixture NCA,25,KL Divergence,5,0.95,0.05562536455690856,3,0.7273333333333334,1500
Mixture NCA,25,KL Divergence,5,0.95,0.05562536455690856,4,0.33,1500
Mixture NCA,25,KL Divergence,5,0.95,0.05562536455690856,5,0.05,1500
Mixture NCA,25,KL Divergence,5,0.95,0.05562536455690856,6,0.994,1500
Mixture NCA,25,KL Divergence,5,0.95,0.05562536455690856,7,0.18333333333333332,1500
Mixture NCA,25,Chi-Square,5,0.95,0.05352326892316335,1,1.0,1500
Mixture NCA,25,Chi-Square,5,0.95,0.05352326892316335,2,0.89,1500
Mixture NCA,25,Chi-Square,5,0.95,0.05352326892316335,3,0.726,1500
Mixture NCA,25,Chi-Square,5,0.95,0.05352326892316335,4,0.2653333333333333,1500
Mixture NCA,25,Chi-Square,5,0.95,0.05352326892316335,5,0.05,1500
Mixture NCA,25,Chi-Square,5,0.95,0.05352326892316335,6,0.994,1500
Mixture NCA,25,Chi-Square,5,0.95,0.05352326892316335,7,0.14466666666666667,1500
Mixture NCA,25,Categorical MMD,4,0.95,0.8799999952316284,1,0.088,1500
Mixture NCA,25,Categorical MMD,4,0.95,0.8799999952316284,2,0.08266666666666667,1500
Mixture NCA,25,Categorical MMD,4,0.95,0.8799999952316284,3,0.17333333333333334,1500
Mixture NCA,25,Categorical MMD,4,0.95,0.8799999952316284,4,0.04933333333333333,1500
Mixture NCA,25,Categorical MMD,4,0.95,0.8799999952316284,5,0.06666666666666667,1500
Mixture NCA,25,Categorical MMD,4,0.95,0.8799999952316284,6,0.21933333333333332,1500
Mixture NCA,25,Categorical MMD,4,0.95,0.8799999952316284,7,0.05,1500
Mixture NCA,25,Tumor Size Diff,7,0.95,0.8905401587486266,1,0.534,1500
Mixture NCA,25,Tumor Size Diff,7,0.95,0.8905401587486266,2,0.16266666666666665,1500
Mixture NCA,25,Tumor Size Diff,7,0.95,0.8905401587486266,3,0.252,1500
Mixture NCA,25,Tumor Size Diff,7,0.95,0.8905401587486266,4,0.056,1500
Mixture NCA,25,Tumor Size Diff,7,0.95,0.8905401587486266,5,0.07133333333333333,1500
Mixture NCA,25,Tumor Size Diff,7,0.95,0.8905401587486266,6,0.13133333333333333,1500
Mixture NCA,25,Tumor Size Diff,7,0.95,0.8905401587486266,7,0.05,1500
Mixture NCA,25,Border Size Diff,2,0.95,0.4304591715335846,1,0.98,1500
Mixture NCA,25,Border Size Diff,2,0.95,0.4304591715335846,2,0.048,1500
Mixture NCA,25,Border Size Diff,2,0.95,0.4304591715335846,3,0.6313333333333333,1500
Mixture NCA,25,Border Size Diff,2,0.95,0.4304591715335846,4,0.18266666666666667,1500
Mixture NCA,25,Border Size Diff,2,0.95,0.4304591715335846,5,0.23733333333333334,1500
Mixture NCA,25,Border Size Diff,2,0.95,0.4304591715335846,6,0.148,1500
Mixture NCA,25,Border Size Diff,2,0.95,0.4304591715335846,7,0.30333333333333334,1500
Mixture NCA,25,Spatial Variance Diff,6,0.95,0.7877091318368906,1,0.5546666666666666,1500
Mixture NCA,25,Spatial Variance Diff,6,0.95,0.7877091318368906,2,0.12266666666666666,1500
Mixture NCA,25,Spatial Variance Diff,6,0.95,0.7877091318368906,3,0.3333333333333333,1500
Mixture NCA,25,Spatial Variance Diff,6,0.95,0.7877091318368906,4,0.15466666666666667,1500
Mixture NCA,25,Spatial Variance Diff,6,0.95,0.7877091318368906,5,0.16733333333333333,1500
Mixture NCA,25,Spatial Variance Diff,6,0.95,0.7877091318368906,6,0.05,1500
Mixture NCA,25,Spatial Variance Diff,6,0.95,0.7877091318368906,7,0.13333333333333333,1500
Mixture NCA,50,KL Divergence,5,0.95,0.055544499680399845,1,1.0,1500
Mixture NCA,50,KL Divergence,5,0.95,0.055544499680399845,2,0.698,1500
Mixture NCA,50,KL Divergence,5,0.95,0.055544499680399845,3,0.9366666666666666,1500
Mixture NCA,50,KL Divergence,5,0.95,0.055544499680399845,4,0.27466666666666667,1500
Mixture NCA,50,KL Divergence,5,0.95,0.055544499680399845,5,0.05,1500
Mixture NCA,50,KL Divergence,5,0.95,0.055544499680399845,6,0.9786666666666667,1500
Mixture NCA,50,KL Divergence,5,0.95,0.055544499680399845,7,0.168,1500
Mixture NCA,50,Chi-Square,5,0.95,0.05340488199144597,1,1.0,1500
Mixture NCA,50,Chi-Square,5,0.95,0.05340488199144597,2,0.6526666666666666,1500
Mixture NCA,50,Chi-Square,5,0.95,0.05340488199144597,3,0.9346666666666666,1500
Mixture NCA,50,Chi-Square,5,0.95,0.05340488199144597,4,0.21733333333333332,1500
Mixture NCA,50,Chi-Square,5,0.95,0.05340488199144597,5,0.05,1500
Mixture NCA,50,Chi-Square,5,0.95,0.05340488199144597,6,0.9753333333333334,1500
Mixture NCA,50,Chi-Square,5,0.95,0.05340488199144597,7,0.13666666666666666,1500
Mixture NCA,50,Categorical MMD,7,0.95,0.8823332905769347,1,0.08666666666666667,1500
Mixture NCA,50,Categorical MMD,7,0.95,0.8823332905769347,2,0.116,1500
Mixture NCA,50,Categorical MMD,7,0.95,0.8823332905769347,3,0.218,1500
Mixture NCA,50,Categorical MMD,7,0.95,0.8823332905769347,4,0.06,1500
Mixture NCA,50,Categorical MMD,7,0.95,0.8823332905769347,5,0.07533333333333334,1500
Mixture NCA,50,Categorical MMD,7,0.95,0.8823332905769347,6,0.396,1500
Mixture NCA,50,Categorical MMD,7,0.95,0.8823332905769347,7,0.05,1500
Mixture NCA,50,Tumor Size Diff,6,0.95,0.8708459854125974,1,0.562,1500
Mixture NCA,50,Tumor Size Diff,6,0.95,0.8708459854125974,2,0.108,1500
Mixture NCA,50,Tumor Size Diff,6,0.95,0.8708459854125974,3,0.454,1500
Mixture NCA,50,Tumor Size Diff,6,0.95,0.8708459854125974,4,0.06,1500
Mixture NCA,50,Tumor Size Diff,6,0.95,0.8708459854125974,5,0.07666666666666666,1500
Mixture NCA,50,Tumor Size Diff,6,0.95,0.8708459854125974,6,0.05,1500
Mixture NCA,50,Tumor Size Diff,6,0.95,0.8708459854125974,7,0.048666666666666664,1500
Mixture NCA,50,Border Size Diff,6,0.95,0.5310665100812908,1,0.9046666666666666,1500
Mixture NCA,50,Border Size Diff,6,0.95,0.5310665100812908,2,0.26266666666666666,1500
Mixture NCA,50,Border Size Diff,6,0.95,0.5310665100812908,3,0.6546666666666666,1500
Mixture NCA,50,Border Size Diff,6,0.95,0.5310665100812908,4,0.07133333333333333,1500
Mixture NCA,50,Border Size Diff,6,0.95,0.5310665100812908,5,0.11266666666666666,1500
Mixture NCA,50,Border Size Diff,6,0.95,0.5310665100812908,6,0.05,1500
Mixture NCA,50,Border Size Diff,6,0.95,0.5310665100812908,7,0.11733333333333333,1500
Mixture NCA,50,Spatial Variance Diff,2,0.95,0.7822565555572509,1,0.5566666666666666,1500
Mixture NCA,50,Spatial Variance Diff,2,0.95,0.7822565555572509,2,0.05,1500
Mixture NCA,50,Spatial Variance Diff,2,0.95,0.7822565555572509,3,0.4713333333333333,1500
Mixture NCA,50,Spatial Variance Diff,2,0.95,0.7822565555572509,4,0.14266666666666666,1500
Mixture NCA,50,Spatial Variance Diff,2,0.95,0.7822565555572509,5,0.164,1500
Mixture NCA,50,Spatial Variance Diff,2,0.95,0.7822565555572509,6,0.035333333333333335,1500
Mixture NCA,50,Spatial Variance Diff,2,0.95,0.7822565555572509,7,0.12266666666666666,1500
Mixture NCA,100,KL Divergence,5,0.95,0.055544499680399845,1,1.0,1500
Mixture NCA,100,KL Divergence,5,0.95,0.055544499680399845,2,0.584,1500
Mixture NCA,100,KL Divergence,5,0.95,0.055544499680399845,3,0.9926666666666667,1500
Mixture NCA,100,KL Divergence,5,0.95,0.055544499680399845,4,0.25466666666666665,1500
Mixture NCA,100,KL Divergence,5,0.95,0.055544499680399845,5,0.05,1500
