Model Type,Step Length,Neighborhood Size,Metric,n,median,q1,q3,p5,p95,iqr,tukey_outlier_rate
Mixture NCA,25,1,KL Divergence,1500,10.170092105865479,9.404071807861328,14.507503509521484,8.96832275390625,15.123337745666504,5.103431701660156,0.0
Mixture NCA,25,1,Chi-Square,1500,1.4209476709365847,1.3203474283218384,1.5431472063064575,1.160580825805664,1.6489027738571167,0.22279977798461914,0.0
Mixture NCA,25,1,Categorical MMD,1500,0.6244443655014038,0.4955555200576782,0.762222170829773,0.3355555534362793,0.9691111028194427,0.2666666507720947,0.0033333333333333335
Mixture NCA,25,1,Tumor Size Diff,1500,0.9234740734100342,0.7314974069595337,1.1320005655288696,0.49632596373558047,1.4399906754493712,0.40050315856933594,0.0033333333333333335
Mixture NCA,25,1,Border Size Diff,1500,0.7608115673065186,0.6406834125518799,0.8909503817558289,0.500533938407898,1.071142554283142,0.250266969203949,0.006666666666666667
Mixture NCA,25,1,Spatial Variance Diff,1500,0.834504246711731,0.6035605818033218,1.0735539197921753,0.26500388383865353,1.4403774619102478,0.46999333798885345,0.008666666666666666
Mixture NCA,25,2,KL Divergence,1500,0.12780647724866862,0.087876733392477,0.1811221428215503,0.049746501445770204,0.3157589986920356,0.09324540942907332,0.048
Mixture NCA,25,2,Chi-Square,1500,0.0907008498907089,0.06864614970982072,0.11535956338047976,0.042356836423277804,0.15249083191156382,0.04671341367065904,0.004666666666666667
Mixture NCA,25,2,Categorical MMD,1500,0.6133333444595337,0.5,0.7511110305786133,0.3577777147293091,0.9312222063541411,0.2511110305786133,0.0033333333333333335
Mixture NCA,25,2,Tumor Size Diff,1500,0.5792400240898132,0.3905732631683349,0.7844564914703369,0.211836352944374,1.1025419950485227,0.393883228302002,0.008
Mixture NCA,25,2,Border Size Diff,1500,0.1501601785421371,0.0700747519731521,0.250266969203949,0.0100106783211231,0.4304591715335846,0.18019221723079687,0.015333333333333332
Mixture NCA,25,2,Spatial Variance Diff,1500,0.403825968503952,0.18327191844582558,0.6273540258407593,0.035323336906731104,0.997649386525154,0.4440821073949337,0.009333333333333334
Mixture NCA,25,3,KL Divergence,1500,0.18647693097591395,0.04790073540061705,2.395086109638214,0.010807130113244025,4.877254056930542,2.347185374237597,0.013333333333333334
Mixture NCA,25,3,Chi-Square,1500,0.1480757370591163,0.0457678129896521,0.32580567896366114,0.01046826839447018,0.5339001178741455,0.28003786597400904,0.008666666666666666
Mixture NCA,25,3,Categorical MMD,1500,0.713333249092102,0.5777777433395386,0.8383332788944244,0.3955554962158203,1.0424444794654844,0.26055553555488586,0.005333333333333333
Mixture NCA,25,3,Tumor Size Diff,1500,0.6619886159896851,0.4766317903995514,0.8945121020078659,0.22160069122910492,1.2081291675567627,0.4178803116083145,0.004
Mixture NCA,25,3,Border Size Diff,1500,0.5105445981025696,0.3503737449645996,0.6607047915458679,0.1296382807195187,0.8509076833724976,0.3103310465812683,0.0026666666666666666
Mixture NCA,25,3,Spatial Variance Diff,1500,0.6177704930305481,0.3666405379772186,0.8773152977228165,0.08880115859210483,1.2504906594753262,0.5106747597455978,0.005333333333333333
Mixture NCA,25,4,KL Divergence,1500,0.041145021095871856,0.024393202736973724,0.06505350954830642,0.011088757216930296,0.13231561407446854,0.0406603068113327,0.058
Mixture NCA,25,4,Chi-Square,1500,0.037110298871994,0.023307091556489377,0.05513159651309245,0.01081288754940031,0.0948747679591178,0.03182450495660307,0.034
Mixture NCA,25,4,Categorical MMD,1500,0.5422221422195435,0.4222221374511719,0.6733332872390747,0.2822221517562866,0.8799999952316284,0.25111114978790283,0.004666666666666667
Mixture NCA,25,4,Tumor Size Diff,1500,0.3773334920406341,0.1820468604564666,0.5866873860359192,0.0397193171083927,0.9003044962882996,0.4046405255794526,0.007333333333333333
Mixture NCA,25,4,Border Size Diff,1500,0.250266969203949,0.1301388144493103,0.3904164433479309,0.0300320349633693,0.5806193351745605,0.2602776288986206,0.006666666666666667
Mixture NCA,25,4,Spatial Variance Diff,1500,0.4301730543375015,0.2105809338390827,0.6898714005947113,0.0534182172268629,1.0253464579582212,0.4792904667556286,0.005333333333333333
Mixture NCA,25,5,KL Divergence,1500,0.019709724932908998,0.01239756494760505,0.0315195014700293,0.0055617635138332355,0.05562536455690856,0.01912193652242425,0.04066666666666666
Mixture NCA,25,5,Chi-Square,1500,0.0193824619054794,0.0121465381234884,0.030361928977072197,0.005503537319600501,0.05352326892316335,0.0182153908535838,0.037333333333333336
Mixture NCA,25,5,Categorical MMD,1500,0.5877777338027954,0.4688888788223266,0.7155555486679077,0.3155555725097656,0.9134444057941437,0.2466666698455811,0.004666666666666667
