Model Type,Neighborhood Size,Step Length,Evaluation,KL Divergence,Chi-Square,Categorical MMD,Tumor Size Diff,Border Size Diff,Spatial Variance Diff
Mixture NCA,1,25,0,12.009097340901693,1.4289115651448567,0.6313110776742299,0.9369014369448027,0.7698879045248032,0.8446513929404318
Mixture NCA,1,25,1,11.967208000818887,1.4181443798542022,0.6312740425268809,0.9367359378933906,0.7696209492286047,0.8371739409926037
Mixture NCA,1,25,2,12.236380631128947,1.440273318886757,0.6312221896648407,0.9370448672771454,0.7706887574990591,0.8598920584842563
Mixture NCA,1,25,3,11.670147473017375,1.4052509550253551,0.6312962651252747,0.9364049445589383,0.7685197758674621,0.8318815882814428
Mixture NCA,1,25,4,11.673292013804117,1.408450301885605,0.6313703401883444,0.9364270116885504,0.7687533589204153,0.8380275703097383
Mixture NCA,1,50,0,11.759189430872599,1.4144352412223815,0.6313703382015228,0.9366035429636638,0.7692872616648674,0.8256029622349889
Mixture NCA,1,50,1,12.099454822540283,1.423568393389384,0.6311925594011942,0.9367690369486809,0.7698211672902108,0.8405385813613733
Mixture NCA,1,50,2,11.779260101318359,1.4118688160181045,0.6315481146176656,0.936515274544557,0.7689869434634844,0.8411068057827652
Mixture NCA,1,50,3,11.543806349436442,1.4000185493628183,0.6314370063940684,0.9363828776280085,0.7686866210897764,0.824749535570542
Mixture NCA,1,50,4,11.76883609453837,1.4104765288035075,0.631437007188797,0.936482174595197,0.7690870483716329,0.8299972499891495
Mixture NCA,1,100,0,12.01603892326355,1.4315218393007914,0.6314518209298452,0.936857304374377,0.7701214868823687,0.8404955624012898
Mixture NCA,1,100,1,12.121239296595256,1.4287960388263066,0.631162926753362,0.9368793685237566,0.7704218047857284,0.8519998345260198
Mixture NCA,1,100,2,11.80501350402832,1.4172322710355123,0.6313851531346639,0.9367138731479645,0.7698211658994357,0.8420608789473772
Mixture NCA,1,100,3,11.848821853001912,1.415006870428721,0.6314814484119415,0.9366256056229273,0.7694207380215327,0.8292329303454608
Mixture NCA,1,100,4,11.784616921742757,1.411119194428126,0.6314888592561086,0.9365594082077344,0.7691204169392586,0.828001741146048
Mixture NCA,2,25,0,0.1637408380831281,0.09320371395597851,0.6256444096565247,0.605112749102215,0.17438601702451703,0.434066812027401
Mixture NCA,2,25,1,0.22459800265729424,0.09625029487845793,0.625637005964915,0.6060505666707953,0.17545382246375082,0.43961479005403814
Mixture NCA,2,25,2,0.18985321940854186,0.0929507504155238,0.6265555206934611,0.6040204667548339,0.17195008547355728,0.431378037451456
Mixture NCA,2,25,3,0.20425062179565426,0.09321997327730056,0.6241925617059072,0.60631536077708,0.18105980274577932,0.43554863007195915
Mixture NCA,2,25,4,0.1795690562172482,0.0906584046905239,0.6253481153647105,0.6065580908271173,0.17859050193180637,0.43942295318003743
Mixture NCA,2,50,0,0.07919725454101956,0.06521039633390799,0.6692295980453491,0.5186901370684306,0.38357582595199347,0.3039806891329741
Mixture NCA,2,50,1,0.0834553174131239,0.0679644211955989,0.6703110738595327,0.5192417933791876,0.38984918521096307,0.30190724319953
Mixture NCA,2,50,2,0.07904605234041805,0.0649042894567052,0.6692370053132375,0.5219228476883533,0.38230780688424904,0.2977681580496331
Mixture NCA,2,50,3,0.08251647004857654,0.06739533021735644,0.6702666342258453,0.5182046777242795,0.3942872521157066,0.2990576479490361
Mixture NCA,2,50,4,0.08774926045909519,0.06660457759164269,0.6695481165250142,0.5195838218058149,0.3899492909759283,0.3003826445182979
Mixture NCA,2,100,0,0.06614354829614356,0.05843044945659732,0.6966592264175415,0.47256056319378936,0.665643372759223,0.27763701828856324
Mixture NCA,2,100,1,0.06916005800788597,0.061075810212641905,0.6966666316986084,0.47514231937627,0.6689802636578679,0.27521095036645415
Mixture NCA,2,100,2,0.06557918844123677,0.05809399873639142,0.6959036684036255,0.4790039201065277,0.6512279938409726,0.2681757131187866
Mixture NCA,2,100,3,0.06974499612115319,0.06121573626684641,0.6977703344821929,0.47243919979780913,0.683829438338677,0.2669125718082068
Mixture NCA,2,100,4,0.06871659897267814,0.06075368387003735,0.6955555240313213,0.4763118336411814,0.6528297027945519,0.27406305453895274
Mixture NCA,3,25,0,1.2387357466078053,0.19222075065714306,0.7140221889813742,0.6893507983411352,0.5132474783932169,0.6540073600877077
Mixture NCA,3,25,1,1.3041461057278017,0.19580378023131437,0.7107184863090515,0.684220385979861,0.4953617337842782,0.6573164682664598
Mixture NCA,3,25,2,1.5465429482019195,0.21773080110549922,0.7067333034674327,0.696643706013759,0.5075747608269254,0.6318681001135459
Mixture NCA,3,25,3,1.4223274763673543,0.2053129221409714,0.7106147889296214,0.6940288519269476,0.5053390423456828,0.6505497348825642
Mixture NCA,3,25,4,1.3456378124126545,0.193877772425767,0.7156888600190481,0.6803036185540259,0.4962626955161492,0.6186763304052875
Mixture NCA,3,50,0,4.539356291620061,0.44693122322360673,0.7251925639311473,0.8518028034766515,0.6549986838673552,0.8153274000932773
Mixture NCA,3,50,1,3.8905869962523383,0.40075766847779354,0.7301851526896159,0.8405710611244043,0.6321075975522399,0.79986857063137
Mixture NCA,3,50,2,4.263094282280654,0.4208922361582518,0.7251777493953705,0.8505450252195199,0.646556344255805,0.7959952610917389
Mixture NCA,3,50,3,3.785892046270892,0.3953236514904226,0.7280518194039662,0.8473895441989104,0.6471569836139679,0.8522413835992726
Mixture NCA,3,50,4,3.9157659892613688,0.40477186620545885,0.7342888609568278,0.8353303172066808,0.6350106965874632,0.8070449597303134
Mixture NCA,3,100,0,7.343116585984826,0.5662070754232505,0.7239703408877055,0.8664879180987676,0.6858649439364671,0.7933609641871104
Mixture NCA,3,100,1,6.947443445088963,0.5609286355723937,0.7284296043713887,0.8563705235905945,0.6840963878110051,0.7697356612064565
Mixture NCA,3,100,2,7.163749654625232,0.5551070136825244,0.7296147878964742,0.8639833946153521,0.688000553585589,0.7979036584717687
Mixture NCA,3,100,3,6.909248924379548,0.5488631504277388,0.7272666394710541,0.8542852578133655,0.6725841115415097,0.7787276902302013
Mixture NCA,3,100,4,6.83968817067643,0.5413359119991461,0.7262370085716248,0.8612692390133937,0.6821276231606801,0.7906273426565652
Mixture NCA,4,25,0,0.050950372203563604,0.0417280559878175,0.5563555165131887,0.41206583900765203,0.27128938327232993,0.47306599573760955
Mixture NCA,4,25,1,0.0519005290480951,0.04235084658178186,0.5566962631543477,0.4092192881468994,0.27122264587630823,0.4704435905573579
Mixture NCA,4,25,2,0.05292347207044557,0.0428658835488992,0.560599961678187,0.4080939068295993,0.26845302437742546,0.4654502567128899
Mixture NCA,4,25,3,0.06532932187120115,0.041788094261816344,0.5587777467568715,0.40813804054865616,0.26885345153510565,0.4662968865518148
Mixture NCA,4,25,4,0.06130669125976657,0.04363653708365741,0.5547258941332499,0.4090868910929809,0.2709223256260156,0.4685649284239238
Mixture NCA,4,50,0,0.04446582036092873,0.036822799552852864,0.5779407068093618,0.3912242311836841,0.2566404240081707,0.45176895076408985
Mixture NCA,4,50,1,0.0442499903729185,0.036327507864528596,0.576933296918869,0.38545389687332016,0.25323679443448777,0.438221679701043
Mixture NCA,4,50,2,0.046091087460517835,0.03749235626930987,0.5807703355948131,0.3875391611612091,0.2546716571971774,0.4406434514191157
Mixture NCA,4,50,3,0.060035048679759055,0.03745768631187573,0.5791629306475321,0.3877046594279818,0.25296984210610385,0.44347935610217976
Mixture NCA,4,50,4,0.05488849376483505,0.038732323767617295,0.5748962601025899,0.3775210679764859,0.2507007543991009,0.43226811394449516
Mixture NCA,4,100,0,0.041437116864447746,0.034481088626198426,0.5944962612787883,0.37432145501952613,0.24556194032231962,0.4345316283623106
Mixture NCA,4,100,1,0.04226893051837877,0.03471391792641948,0.5866666320959727,0.3739683944662101,0.24846503693610425,0.42589004297973587
Mixture NCA,4,100,2,0.044174700366953965,0.03600789969398946,0.5957851513226827,0.3810627065280763,0.2534703762084245,0.43499076127734343
Mixture NCA,4,100,3,0.04883010821416969,0.03493291223072442,0.592740707397461,0.38297144141669076,0.25030032812307274,0.4387112566262173
Mixture NCA,4,100,4,0.051683814665302585,0.03635060417000199,0.5883555217583974,0.36324417948334786,0.2423585228870312,0.4184951310705704
Mixture NCA,5,25,0,0.023155495023044398,0.022400179047835943,0.5981333029270172,0.42112405128777025,0.29361319712052736,0.45019820327482496
Mixture NCA,5,25,1,0.02383241578936572,0.02303550710086706,0.5979184865951538,0.44057548182240375,0.30132141796251133,0.4706904314737767
Mixture NCA,5,25,2,0.02320451921628162,0.022495051299920257,0.6011999686559041,0.4172293502643394,0.284570217144986,0.4442576077130313
Mixture NCA,5,25,3,0.025980714479616484,0.025090666092000856,0.588325891494751,0.44937992975115776,0.3072277187556028,0.47994118188352636
Mixture NCA,5,25,4,0.023216291395947285,0.022493132733798073,0.595214778582255,0.4280859630880877,0.29294581744819875,0.46139817002345807
Mixture NCA,5,50,0,0.02360414837021376,0.022826567849842785,0.6062518187363942,0.4127498955108846,0.28754005192468557,0.44246794857628025
Mixture NCA,5,50,1,0.023993133076777015,0.02319857720169234,0.605555525223414,0.43503684296660744,0.2997530783588687,0.467970888853694
Mixture NCA,5,50,2,0.023737410247946733,0.023027836322241105,0.6106814479827881,0.41022330379812044,0.2796649846558769,0.44072213442530483
Mixture NCA,5,50,3,0.026361776984607132,0.02546107693497708,0.5972147786617279,0.43733173702222605,0.29955286545058085,0.4684887223659704
Mixture NCA,5,50,4,0.023397384469086874,0.022666795460875876,0.6014814448356628,0.42295555118083333,0.29134410915275416,0.4562577997671906
Mixture NCA,5,100,0,0.0235972240986302,0.02282131876680064,0.606325892607371,0.412584398483547,0.2875400519743561,0.4424569033885685
Mixture NCA,5,100,1,0.02399819286540146,0.02320363398835369,0.605770339568456,0.43449621902856356,0.29998666091511644,0.4675315061863512
Mixture NCA,5,100,2,0.02373415875248606,0.0230250435993851,0.6107999662558238,0.41036673468770457,0.2800987807537118,0.4410801092923308
Mixture NCA,5,100,3,0.026368329087272237,0.025462416512115504,0.5975407048066457,0.437089007847632,0.299586234341065,0.46778086747663716
Mixture NCA,5,100,4,0.023409443047518477,0.022678152973821804,0.601577740907669,0.42286728591580564,0.29127737127244474,0.4560887062080049
Mixture NCA,6,25,0,0.9295511028667292,0.2506352933744589,0.7456962664922079,0.5335848795506172,0.24342632807791229,0.32318406038626557
Mixture NCA,6,25,1,0.9969826929892103,0.2553988305541376,0.743340710401535,0.529491584240459,0.2483982985466718,0.3484038749228542
Mixture NCA,6,25,2,1.0017486524457733,0.252949539621671,0.7392073774337768,0.5296019157650881,0.24359317343682046,0.3074983513479431
Mixture NCA,6,25,3,1.047150419279933,0.2564884621975943,0.7415555250644684,0.523202692164729,0.2296783300613363,0.30532486792110525
Mixture NCA,6,25,4,1.0181964316715797,0.25450873532642915,0.7453999666372935,0.5167703702215416,0.2336492330829302,0.31385918746896396
Mixture NCA,6,50,0,0.42479800838977094,0.19402805245170987,0.8469407101472218,0.34573458125426737,0.2092899161825577,0.29973320117744146
Mixture NCA,6,50,1,0.4742039604857564,0.1982248169369995,0.8490962688128153,0.3464627682355543,0.2044514213502407,0.3062411507001767
Mixture NCA,6,50,2,0.5236134925515702,0.20699134480052936,0.8406888608137767,0.3496623795269988,0.22463962242007252,0.3036228034443532
Mixture NCA,6,50,3,0.4730164513985316,0.19929706096028282,0.8415851573149363,0.34755505021195854,0.21910038057714695,0.300206082525013
Mixture NCA,6,50,4,0.3964303590357303,0.19953691770633059,0.8423851565519969,0.3417736836794453,0.2041511008267601,0.2823811456138112
Mixture NCA,6,100,0,0.36313671996196106,0.19013655809064703,1.0416221976280213,0.48113331661559644,0.19073679181436695,0.4007592977740569
Mixture NCA,6,100,1,0.445402833049496,0.19109415501666563,1.0263925687472026,0.4850942145241424,0.21262680857131877,0.40938992010933967
Mixture NCA,6,100,2,0.5467939278731744,0.19955088544016078,1.0126814568042755,0.4729908556941276,0.21132542066276072,0.39551415653239624
