Model Type,Neighborhood Size,Step Length,n_evaluations,KL Divergence mean_across_eval,KL Divergence std_across_eval,Chi-Square mean_across_eval,Chi-Square std_across_eval,Categorical MMD mean_across_eval,Categorical MMD std_across_eval,Tumor Size Diff mean_across_eval,Tumor Size Diff std_across_eval,Border Size Diff mean_across_eval,Border Size Diff std_across_eval,Spatial Variance Diff mean_across_eval,Spatial Variance Diff std_across_eval
Mixture NCA,1,25,5,11.911225091934202,0.24143827155467454,1.4202061041593552,0.014530865749464923,0.6312947830359141,5.4029069372067593e-05,0.9367028396725654,0.0002838757767692252,0.7694941492080689,0.0008798272729254821,0.8423253102016945,0.01081757605225366
Mixture NCA,1,50,5,11.790109359741212,0.19867441233178407,1.4120735057592393,0.008450213651653873,0.6313970051606497,0.0001309040910351472,0.9365505813360213,0.00014541180669046477,0.7691738083759943,0.0004218241512491225,0.8323990269877637,0.007945871644457172
Mixture NCA,1,100,5,11.915146099726357,0.14681598029572304,1.4207352428038915,0.008928613332226528,0.6313940416971843,0.00013551924844237687,0.936727111975352,0.00014029921338185383,0.7697811225056649,0.0005230520978317031,0.838358189473239,0.00993603452369701
Mixture NCA,2,25,5,0.19240234763237332,0.023289565023957192,0.09325662744355694,0.0019881216201804233,0.6254755226771037,0.0008490018928513852,0.6056114468264082,0.0010445540866831102,0.17628804592788216,0.0035777964733822135,0.4360062445569783,0.003538594671070946
Mixture NCA,2,50,5,0.08239287096044665,0.003579390200722308,0.06641580295904224,0.00133519719086307,0.6697184855937958,0.0005365369723274124,0.5195286555332131,0.0014381863355550995,0.3879938722277681,0.004967971194205728,0.3006192765698942,0.002428039741859087
Mixture NCA,2,100,5,0.06786887796781953,0.001879164490360067,0.059913935708502876,0.0015217355284282649,0.6965110770066579,0.0008535077034708536,0.4750915672231155,0.0027495074718822134,0.6645021542782585,0.013298018756035047,0.27239986162419266,0.004638157517702612
Mixture NCA,3,25,5,1.371478017863507,0.1183799079787641,0.200989205312139,0.010645685334058155,0.7115555255413055,0.0034644021205003143,0.6889094721631457,0.006750359931019393,0.5035571421732505,0.0076418701019808945,0.6424835987511129,0.016563125330893453
Mixture NCA,3,50,5,4.078939121137063,0.3137975765735472,0.41373532911110666,0.020862298051701787,0.7285792292753855,0.0038241539146124963,0.8451277502452335,0.006995927843520652,0.6431660611753662,0.009437055026768757,0.8140955150291944,0.02256302450525267
Mixture NCA,3,100,5,7.040649356150999,0.2079536739286942,0.5544883574210107,0.009795637347122872,0.7271036762396494,0.002159816395721482,0.8604792666262947,0.0051052516187202815,0.6825347240070501,0.005970445358911348,0.7860710633504204,0.011561608177692119
Mixture NCA,4,25,5,0.0564820772906144,0.006438257784558414,0.04247388349279447,0.0007979866907270231,0.557431076447169,0.0022841927254956926,0.4093207931251575,0.0016205279971136604,0.270148166137437,0.001378948662931232,0.46876433159671915,0.0030998130608344576
