Model Type,Neighborhood Size,Step Length,Evaluation,Simulation,KL Divergence,Chi-Square,Categorical MMD,Tumor Size Diff,Border Size Diff,Spatial Variance Diff
Mixture NCA,2,25,0,0,0.09762626886367798,0.07507140934467316,0.4533332586288452,0.37071362137794495,0.020021356642246246,0.15524695813655853
Mixture NCA,2,25,0,1,0.11733303964138031,0.08800537884235382,0.6288888454437256,0.5494505167007446,0.20021356642246246,0.49814507365226746
Mixture NCA,2,25,0,2,0.08815452456474304,0.07083310186862946,0.7777777910232544,0.9698132872581482,0.15016017854213715,0.6765406727790833
Mixture NCA,2,25,0,3,0.06565883755683899,0.05909283831715584,0.26888883113861084,0.13239772617816925,0.1701815277338028,0.13818520307540894
Mixture NCA,2,25,0,4,0.26896727085113525,0.12610644102096558,0.9733333587646484,1.138620376586914,0.050053391605615616,0.8750646114349365
Mixture NCA,2,25,0,5,0.07888186722993851,0.0586421899497509,0.5244444608688354,0.41043293476104736,0.050053391605615616,0.2773912250995636
Mixture NCA,2,25,0,6,0.12425629794597626,0.09576431661844254,0.46222221851348877,0.3177545368671417,0.1301388144493103,0.12333758920431137
Mixture NCA,2,25,0,7,0.2611035704612732,0.1371203511953354,0.611111044883728,0.6586786508560181,0.020021356642246246,0.48249635100364685
Mixture NCA,2,25,0,8,0.07938405126333237,0.06413929164409637,0.6311110258102417,0.6719184517860413,0.18019220232963562,0.5384958386421204
Mixture NCA,2,25,0,9,0.06911230832338333,0.05578961223363876,0.5822222232818604,0.5593803524971008,0.16017085313796997,0.38239815831184387
Mixture NCA,2,25,0,10,0.08051910996437073,0.06157490238547325,0.3955554962158203,0.2747252583503723,0.07007475197315216,0.09772473573684692
Mixture NCA,2,25,0,11,0.06589661538600922,0.05388740822672844,0.7066665887832642,0.7910763621330261,0.32034170627593994,0.9049084782600403
Mixture NCA,2,25,0,12,0.07883820682764053,0.06160471588373184,0.25555551052093506,0.14563749730587006,0.24025627970695496,0.09336891025304794
Mixture NCA,2,25,0,13,0.1430150866508484,0.10717552900314331,0.4733332395553589,0.37071362137794495,0.04004271328449249,0.05275913327932358
Mixture NCA,2,25,0,14,0.09225697815418243,0.07230661064386368,0.4599999189376831,0.35085394978523254,0.020021356642246246,0.12572945654392242
