Model Type,KL Divergence,KL Divergence SD,Chi-Square,Chi-Square SD,Categorical MMD,Categorical MMD SD,Tumor Size Diff,Tumor Size Diff SD,Border Size Diff,Border Size Diff SD,Spatial Variance Diff,Spatial Variance Diff SD,Neighborhood Size,Step Length
Mixture NCA,0.451,±0.004,0.383,±0.003,0.225,±0.001,0.345,±0.002,0.261,±0.001,0.467,±0.001,2,25
Stochastic Mixture NCA,0.562,±0.004,0.535,±0.004,0.331,±0.001,0.365,±0.002,0.169,±0.002,0.323,±0.005,2,25
Mixture NCA,0.362,±0.007,0.322,±0.006,0.295,±0.004,0.152,±0.002,0.176,±0.000,0.338,±0.000,2,100
Stochastic Mixture NCA,0.315,±0.005,0.317,±0.005,0.267,±0.002,0.379,±0.005,0.176,±0.000,0.337,±0.001,2,100
Mixture NCA,0.357,±0.007,0.318,±0.006,0.293,±0.004,0.154,±0.003,0.176,±0.000,0.338,±0.000,2,500
Stochastic Mixture NCA,0.294,±0.005,0.298,±0.004,0.266,±0.001,0.362,±0.006,0.176,±0.000,0.338,±0.001,2,500
Mixture NCA,0.092,±0.001,0.086,±0.001,0.107,±0.001,0.536,±0.004,0.138,±0.007,0.244,±0.011,3,25
Stochastic Mixture NCA,0.018,±0.000,0.018,±0.000,0.081,±0.001,0.480,±0.002,0.298,±0.005,0.517,±0.006,3,25
Mixture NCA,0.300,±0.003,0.210,±0.001,0.136,±0.002,0.577,±0.006,0.129,±0.011,0.218,±0.020,3,100
Stochastic Mixture NCA,0.229,±0.004,0.187,±0.003,0.165,±0.001,0.708,±0.002,0.471,±0.003,0.721,±0.003,3,100
Mixture NCA,0.304,±0.005,0.211,±0.003,0.138,±0.002,0.580,±0.006,0.133,±0.017,0.226,±0.029,3,500
Stochastic Mixture NCA,0.226,±0.005,0.185,±0.003,0.164,±0.001,0.707,±0.003,0.469,±0.004,0.719,±0.004,3,500
Mixture NCA,0.262,±0.003,0.250,±0.002,0.128,±0.001,0.608,±0.004,0.296,±0.005,0.510,±0.007,5,25
Stochastic Mixture NCA,0.109,±0.002,0.104,±0.002,0.088,±0.001,0.513,±0.003,0.279,±0.005,0.486,±0.007,5,25
Mixture NCA,0.234,±0.002,0.221,±0.002,0.103,±0.002,0.111,±0.020,0.205,±0.010,0.437,±0.022,5,100
Stochastic Mixture NCA,0.056,±0.001,0.055,±0.001,0.047,±0.001,0.319,±0.010,0.105,±0.010,0.194,±0.018,5,100
Mixture NCA,0.150,±0.001,0.146,±0.001,0.192,±0.006,0.692,±0.019,0.307,±0.005,0.672,±0.011,5,500
Stochastic Mixture NCA,0.049,±0.001,0.048,±0.001,0.039,±0.001,0.240,±0.007,0.063,±0.009,0.117,±0.016,5,500
