Model Type,Neighborhood Size,Mean Time (s),Std Time (s),Time per Step (ms),Theoretical O(n²),Normalized Time
standard,3,0.022299718856811524,0.0015788889198482482,0.6371348244803293,9,1.0
standard,4,0.03024601936340332,0.016749093385229546,0.8641719818115234,16,1.3563408380892916
standard,5,0.022011613845825194,0.0010921143185394686,0.6289032527378626,25,0.9870803298984944
standard,6,0.02540102005004883,0.0024231807921409046,0.7257434300013951,36,1.1390735557318474
standard,7,0.033280563354492185,0.00582531357672913,0.9508732386997767,49,1.4924207595705417
nca_with_noise,3,0.02800431251525879,0.0027881373391166944,0.8001232147216797,9,1.0
nca_with_noise,4,0.026725625991821288,0.0019318320692123063,0.7635893140520368,16,0.9543396566960614
nca_with_noise,5,0.025136852264404298,0.0006925479303224654,0.7181957789829799,25,0.8976064758136059
nca_with_noise,6,0.026642847061157226,0.001816309811841364,0.7612242017473493,36,0.9513837215836047
nca_with_noise,7,0.029564332962036134,0.0005664362711904515,0.8446952274867466,49,1.0557064361400528
mixture,3,0.07083220481872558,0.020009858431202062,2.0237772805350165,9,1.0
mixture,4,0.05752129554748535,0.009794813062240844,1.64346558707101,16,0.8120782869133379
mixture,5,0.04439005851745605,0.0023240630408760676,1.2682873862130302,25,0.626693163527233
mixture,6,0.04671459197998047,0.002296784715232307,1.334702627999442,36,0.6595106293744897
mixture,7,0.04990506172180176,0.006455486740442029,1.4258589063371931,49,0.7045532727594636
stochastic,3,0.10000200271606445,0.009514519377462649,2.8572000776018416,9,1.0
stochastic,4,0.113470458984375,0.001967112861864167,3.2420131138392856,16,1.1346818653877515
stochastic,5,0.11560864448547363,0.002914155419409492,3.3031041281563893,25,1.1560632921894685
stochastic,6,0.12657155990600585,0.004996199554965009,3.6163302830287387,36,1.265690250878078
stochastic,7,0.11896862983703613,0.007839839523398548,3.3991037096296033,49,1.1896624728089056
