Model Type,Neighborhood Size,Time Step,Mean Entropy,Std Entropy,N Samples
Mixture NCA,3,0,1.779565453529358,0.012286528944969177,20
Mixture NCA,3,1,1.7567983865737915,0.01855875365436077,20
Mixture NCA,3,2,1.7256696224212646,0.025481348857283592,20
Mixture NCA,3,3,1.6864821910858154,0.032107163220644,20
Mixture NCA,3,4,1.6416534185409546,0.03992432355880737,20
Mixture NCA,3,5,1.597832202911377,0.045764803886413574,20
Mixture NCA,3,6,1.557436227798462,0.050264738500118256,20
Mixture NCA,3,7,1.5217748880386353,0.05343208461999893,20
Mixture NCA,3,8,1.489740014076233,0.05660579353570938,20
Mixture NCA,3,9,1.459518551826477,0.06230023875832558,20
Mixture NCA,3,10,1.4320169687271118,0.06876838207244873,20
Mixture NCA,3,11,1.4060266017913818,0.07704341411590576,20
Mixture NCA,3,12,1.3810434341430664,0.08365454524755478,20
Mixture NCA,3,13,1.3568662405014038,0.08960782736539841,20
Mixture NCA,3,14,1.3338980674743652,0.09870047122240067,20
Mixture NCA,3,15,1.3124406337738037,0.10770943015813828,20
Mixture NCA,3,16,1.2926961183547974,0.11790213733911514,20
Mixture NCA,3,17,1.2753691673278809,0.12697723507881165,20
Mixture NCA,3,18,1.2599561214447021,0.13590888679027557,20
Mixture NCA,3,19,1.245550513267517,0.14547677338123322,20
Mixture NCA,3,20,1.2310442924499512,0.15500801801681519,20
Mixture NCA,3,21,1.2178475856781006,0.16434237360954285,20
Mixture NCA,3,22,1.2067663669586182,0.172591432929039,20
Mixture NCA,3,23,1.197095513343811,0.17944854497909546,20
Mixture NCA,3,24,1.1894394159317017,0.1851094514131546,20
Mixture NCA,3,25,1.184301733970642,0.18861594796180725,20
Mixture NCA,3,26,1.1801716089248657,0.19102418422698975,20
Mixture NCA,3,27,1.1765450239181519,0.1930161863565445,20
Mixture NCA,3,28,1.1736235618591309,0.19488103687763214,20
Mixture NCA,3,29,1.1714073419570923,0.196119487285614,20
Mixture NCA,3,30,1.1691911220550537,0.1964748650789261,20
