Model Type,Step Length,KL Divergence,KL Divergence SD,Chi-Square,Chi-Square SD,Categorical MMD,Categorical MMD SD,Tumor Size Diff,Tumor Size Diff SD,Border Size Diff,Border Size Diff SD,Spatial Variance Diff,Spatial Variance Diff SD,Neighborhood Size
Mixture NCA,25,9.632,±0.038,1.41,±0.014,0.251,±0.000,0.937,±0.000,0.703,±0.003,0.779,±0.022,1
Mixture NCA,50,9.611,±0.018,1.402,±0.007,0.251,±0.000,0.937,±0.000,0.701,±0.002,0.761,±0.004,1
Mixture NCA,100,9.633,±0.019,1.411,±0.007,0.251,±0.000,0.937,±0.000,0.702,±0.002,0.772,±0.016,1
Stochastic Mixture NCA,25,14.475,±0.000,1.539,±0.000,0.252,±0.000,0.939,±0.000,0.728,±0.000,0.928,±0.000,1
Stochastic Mixture NCA,50,14.475,±0.000,1.539,±0.000,0.252,±0.000,0.939,±0.000,0.728,±0.000,0.928,±0.000,1
Stochastic Mixture NCA,100,14.475,±0.000,1.539,±0.000,0.252,±0.000,0.939,±0.000,0.728,±0.000,0.928,±0.000,1
Mixture NCA,25,0.118,±0.003,0.083,±0.002,0.17,±0.000,0.606,±0.001,0.18,±0.002,0.347,±0.003,2
Mixture NCA,50,0.063,±0.001,0.054,±0.001,0.176,±0.001,0.519,±0.002,0.182,±0.000,0.348,±0.001,2
Mixture NCA,100,0.049,±0.001,0.046,±0.001,0.179,±0.001,0.472,±0.002,0.182,±0.000,0.349,±0.000,2
Stochastic Mixture NCA,25,0.135,±0.003,0.091,±0.002,0.16,±0.000,0.621,±0.002,0.241,±0.004,0.438,±0.006,2
Stochastic Mixture NCA,50,0.104,±0.002,0.081,±0.001,0.168,±0.001,0.548,±0.002,0.177,±0.002,0.341,±0.003,2
Stochastic Mixture NCA,100,0.103,±0.002,0.085,±0.001,0.171,±0.001,0.512,±0.002,0.182,±0.000,0.349,±0.000,2
Mixture NCA,25,0.01,±0.001,0.01,±0.001,0.046,±0.003,0.417,±0.016,0.262,±0.013,0.459,±0.019,3
Mixture NCA,50,0.01,±0.001,0.01,±0.001,0.045,±0.003,0.401,±0.017,0.252,±0.013,0.44,±0.019,3
Mixture NCA,100,0.01,±0.001,0.01,±0.001,0.045,±0.003,0.401,±0.016,0.251,±0.013,0.44,±0.019,3
Stochastic Mixture NCA,25,0.019,±0.000,0.019,±0.000,0.04,±0.001,0.392,±0.004,0.236,±0.001,0.424,±0.001,3
Stochastic Mixture NCA,50,0.019,±0.000,0.019,±0.000,0.04,±0.001,0.388,±0.004,0.233,±0.002,0.418,±0.003,3
Stochastic Mixture NCA,100,0.019,±0.000,0.019,±0.000,0.04,±0.001,0.388,±0.004,0.233,±0.002,0.418,±0.003,3
Mixture NCA,25,0.033,±0.005,0.032,±0.005,0.205,±0.002,0.688,±0.007,0.404,±0.008,0.454,±0.028,4
Mixture NCA,50,0.13,±0.029,0.115,±0.022,0.262,±0.002,0.845,±0.007,0.54,±0.014,0.51,±0.022,4
Mixture NCA,100,0.449,±0.085,0.273,±0.025,0.264,±0.001,0.859,±0.005,0.634,±0.002,0.641,±0.013,4
Stochastic Mixture NCA,25,0.002,±0.000,0.002,±0.000,0.2,±0.002,0.62,±0.007,0.399,±0.005,0.444,±0.030,4
Stochastic Mixture NCA,50,0.041,±0.009,0.04,±0.009,0.268,±0.001,0.794,±0.006,0.456,±0.007,0.291,±0.025,4
Stochastic Mixture NCA,100,0.455,±0.037,0.27,±0.012,0.269,±0.004,0.757,±0.005,0.333,±0.009,0.308,±0.022,4
Mixture NCA,25,0.034,±0.001,0.03,±0.001,0.052,±0.001,0.394,±0.004,0.278,±0.003,0.486,±0.005,5
Mixture NCA,50,0.024,±0.001,0.022,±0.001,0.044,±0.001,0.345,±0.007,0.245,±0.006,0.432,±0.009,5
Mixture NCA,100,0.02,±0.001,0.018,±0.001,0.04,±0.002,0.313,±0.006,0.223,±0.007,0.394,±0.010,5
Stochastic Mixture NCA,25,0.066,±0.001,0.052,±0.001,0.072,±0.000,0.487,±0.002,0.341,±0.003,0.574,±0.005,5
Stochastic Mixture NCA,50,0.061,±0.001,0.049,±0.001,0.07,±0.000,0.478,±0.002,0.335,±0.003,0.564,±0.005,5
Stochastic Mixture NCA,100,0.059,±0.001,0.048,±0.001,0.069,±0.000,0.476,±0.002,0.332,±0.003,0.56,±0.004,5
Mixture NCA,25,0.323,±0.005,0.221,±0.002,0.164,±0.002,0.515,±0.005,0.088,±0.006,0.139,±0.008,6
Mixture NCA,50,0.216,±0.004,0.166,±0.002,0.183,±0.002,0.226,±0.015,0.079,±0.007,0.158,±0.007,6
Mixture NCA,100,0.232,±0.002,0.17,±0.001,0.22,±0.009,0.325,±0.022,0.04,±0.005,0.066,±0.005,6
Stochastic Mixture NCA,25,0.543,±0.022,0.295,±0.005,0.186,±0.003,0.619,±0.012,0.116,±0.015,0.151,±0.016,6
Stochastic Mixture NCA,50,0.539,±0.028,0.294,±0.007,0.172,±0.003,0.482,±0.012,0.082,±0.006,0.162,±0.011,6
Stochastic Mixture NCA,100,0.379,±0.019,0.244,±0.006,0.166,±0.009,0.541,±0.051,0.267,±0.023,0.393,±0.029,6
Mixture NCA,25,0.026,±0.001,0.025,±0.001,0.05,±0.001,0.385,±0.003,0.242,±0.004,0.44,±0.005,7
Mixture NCA,50,0.025,±0.001,0.024,±0.001,0.046,±0.001,0.354,±0.004,0.219,±0.004,0.405,±0.007,7
Mixture NCA,100,0.026,±0.001,0.025,±0.001,0.042,±0.001,0.325,±0.003,0.198,±0.002,0.373,±0.003,7
Stochastic Mixture NCA,25,0.014,±0.001,0.013,±0.000,0.031,±0.000,0.26,±0.003,0.17,±0.002,0.327,±0.004,7
Stochastic Mixture NCA,50,0.013,±0.000,0.013,±0.000,0.029,±0.000,0.218,±0.003,0.144,±0.002,0.283,±0.004,7
Stochastic Mixture NCA,100,0.014,±0.000,0.013,±0.000,0.029,±0.000,0.174,±0.002,0.12,±0.001,0.24,±0.002,7
