Model Type,Neighborhood Size,Mean Time (s),Std Time (s),Time per Step (ms),Theoretical O(n²),Normalized Time
mixture,1,0.05374321937561035,0.0012878313201154983,1.5355205535888672,1,
mixture,2,0.05513396263122559,0.004755679267821335,1.575256075177874,4,
mixture,3,0.05199761390686035,0.0015330626423751654,1.4856461116245814,9,1.0
mixture,4,0.05640377998352051,0.0014401123414699525,1.6115365709577287,16,1.08473785132819
mixture,5,0.053561830520629884,0.004643649340697246,1.5303380148751395,25,1.030082469102744
mixture,6,0.04457550048828125,0.017289727160745425,1.2735857282366072,36,0.8572604998399772
mixture,7,0.05515012741088867,0.0025303787306797426,1.5757179260253906,49,1.060628041695821
stochastic,1,0.11356215476989746,0.0022581929587064177,3.244632993425642,1,
stochastic,2,0.11340117454528809,0.002168239328805017,3.240033558436802,4,
stochastic,3,0.11770381927490234,0.0031400572331660376,3.3629662649972096,9,1.0
stochastic,4,0.10853919982910157,0.009640954265342084,3.1011199951171875,16,0.9221383001651254
stochastic,5,0.1117255687713623,0.00042832233165931966,3.1921591077532088,25,0.9492093753595406
stochastic,6,0.11227803230285645,0.00192919712681026,3.207943780081613,36,0.9539030508485563
stochastic,7,0.11924524307250976,0.010520760100217358,3.4070069449288503,49,1.0130957840374522
