Model Type,Metric,Pearson r,Pearson p,Spearman r,Spearman p,Linear slope,Mean@NB3,Mean@NB7,FoldChange(NB7/NB3),AbsDiff(NB7-NB3),Improvement%(NB3->NB7)
Mixture NCA,KL Divergence,-0.6088566291383192,0.1467751651441387,-0.3214285714285715,0.4820720382996776,-1.0150833333333331,0.01,0.025666666666666667,2.566666666666667,0.01566666666666667,-156.66666666666669
Mixture NCA,Chi-Square,-0.5898450306106855,0.16332966321573344,-0.25,0.5887244480896833,-0.13879761904761903,0.01,0.02466666666666667,2.466666666666667,0.01466666666666667,-146.6666666666667
Mixture NCA,Categorical MMD,-0.4799634607111306,0.2757021103753498,-0.36037498507822363,0.4271488085609062,-0.020964285714285717,0.04533333333333334,0.046000000000000006,1.0147058823529413,0.0006666666666666696,-1.470588235294124
Mixture NCA,Tumor Size Diff,-0.6931474780044937,0.08421341836676764,-0.7857142857142859,0.03623846267982714,-0.07702380952380951,0.4063333333333334,0.3546666666666667,0.8728465955701394,-0.051666666666666694,12.71534044298606
Mixture NCA,Border Size Diff,-0.5891066357037176,0.1639903969990392,-0.5357142857142858,0.21521745567801273,-0.05992857142857142,0.255,0.21966666666666668,0.8614379084967321,-0.03533333333333333,13.856209150326796
Mixture NCA,Spatial Variance Diff,-0.6138661778854286,0.14256057920265364,-0.5357142857142858,0.21521745567801273,-0.05560714285714287,0.4463333333333333,0.40599999999999997,0.9096340552651232,-0.04033333333333333,9.036594473487677
Stochastic Mixture NCA,KL Divergence,-0.6064143480969244,0.14885227868378392,-0.4642857142857144,0.2939341076002517,-1.5212499999999998,0.019,0.013666666666666667,0.7192982456140351,-0.005333333333333332,28.070175438596483
Stochastic Mixture NCA,Chi-Square,-0.5794120299366291,0.1727876777319331,-0.4642857142857144,0.2939341076002517,-0.14869047619047618,0.019,0.013,0.6842105263157895,-0.006,31.578947368421055
Stochastic Mixture NCA,Categorical MMD,-0.5107291177821709,0.2414669809254952,-0.5357142857142858,0.21521745567801273,-0.022142857142857145,0.04,0.029666666666666664,0.7416666666666666,-0.010333333333333337,25.833333333333343
Stochastic Mixture NCA,Tumor Size Diff,-0.6983798446704312,0.08092178494443962,-0.6785714285714287,0.0937502539598313,-0.07499999999999998,0.38933333333333336,0.21733333333333335,0.5582191780821918,-0.17200000000000001,44.178082191780824
Stochastic Mixture NCA,Border Size Diff,-0.6543525049467958,0.11078765501354315,-0.6785714285714287,0.0937502539598313,-0.06207142857142858,0.23399999999999999,0.14466666666666667,0.6182336182336182,-0.08933333333333332,38.17663817663817
Stochastic Mixture NCA,Spatial Variance Diff,-0.6780519007135605,0.09410013433284958,-0.7142857142857144,0.0713435614675376,-0.07390476190476192,0.42,0.2833333333333333,0.6746031746031746,-0.13666666666666666,32.53968253968254
