image_name,img_idx,neighborhood_size,IoU,Dice,MSE_RGBA
ProcessPlateSparse_wA01_s01_z1_t1,0,3,1.000000,1.000000,0.000291
ProcessPlateSparse_wA01_s02_z1_t1,1,3,0.996528,0.998261,0.001101
ProcessPlateSparse_wA01_s03_z1_t1,2,3,1.000000,1.000000,0.000289
ProcessPlateSparse_wA01_s04_z1_t1,3,3,1.000000,1.000000,0.000149
ProcessPlateSparse_wA01_s05_z1_t1,4,3,0.991319,0.995641,0.002270
ProcessPlateSparse_wA01_s01_z1_t1,0,7,0.077474,0.143807,0.328219
ProcessPlateSparse_wA01_s02_z1_t1,1,7,0.170681,0.291593,0.294033
ProcessPlateSparse_wA01_s03_z1_t1,2,7,0.030924,0.059994,0.288687
ProcessPlateSparse_wA01_s04_z1_t1,3,7,0.365994,0.535865,0.330282
ProcessPlateSparse_wA01_s05_z1_t1,4,7,0.056424,0.106820,0.305163
